Advanced Heuristics,1,0,nvt,1,10,
Algoritmen en complexiteit,1,1,25,1,25,
Analysemethoden en -technieken,1,0,nvt,0,nvt,
Architectuur en computerorganisatie,2,0,nvt,0,nvt,
Autonomous Agents 2,2,1,10,1,10,
Bioinformatica,3,1,20,1,20,
Calculus 2,1,1,40,0,nvt,
Collectieve Intelligentie,3,1,20,1,20,
Compilerbouw,2,1,40,1,40,
Compilerbouw practicum,0,0,nvt,1,15,
Data Mining,2,1,10,1,10,
Databases 2,1,1,40,0,nvt,
Heuristieken 1,1,1,25,0,nvt,
Heuristieken 2,1,1,20,0,nvt,
Informatie- en organisatieontwerp,2,1,15,1,15,
Interactie-ontwerp,2,0,nvt,0,nvt,
Kansrekenen 2,2,0,nvt,0,nvt,
Lineaire Algebra,2,0,nvt,0,nvt,
Machine Learning,2,0,nvt,0,nvt,
Moderne Databases,1,1,20,1,20,
Netwerken en systeembeveiliging,0,0,nvt,1,20,
Programmeren in Java 2,0,0,nvt,1,20,
Project Genetic Algorithms,0,0,nvt,1,15,
Project Numerical Recipes,0,0,nvt,1,15,
Reflectie op de digitale cultuur,2,1,20,0,nvt,
Software engineering,1,1,40,1,40,
Technology for games,2,1,20,0,nvt,
Webprogrammeren en databases,2,1,20,1,20,
Zoeken sturen en bewegen,0,0,nvt,1,15,
